suite,model,n_codebases_signals,n_codebases_refdiff,S0_cont_mean,S1_cont_mean,S2_cont_mean,S3_cont_mean,S4_cont_mean,S5_cont_mean,S6_cont_mean,S7_cont_mean,refdiff_Matching_mean,reltype[Matching:SAME]_mean,reltype[Matching:CHANGE_SIGNATURE]_mean,reltype[Matching:MOVE]_mean,reltype[Matching:RENAME]_mean,reltype[Matching:PUSH_DOWN]_mean,reltype[Matching:INTERNAL_MOVE]_mean,reltype[Matching:MOVE_RENAME]_mean,reltype[Matching:PULL_UP]_mean,reltype[Matching:INTERNAL_MOVE_RENAME]_mean,refdiff_Non-Matching_mean,reltype[Non-Matching:EXTRACT]_mean,reltype[Non-Matching:EXTRACT_MOVE]_mean,reltype[Non-Matching:INLINE]_mean,reltype[Non-Matching:PUSH_DOWN_IMPL]_mean,reltype[Non-Matching:EXTRACT_SUPER]_mean,refdiff_No_Relationship_mean,reltype[No Relationship:Node Deleted]_mean,reltype[No Relationship:Node Added]_mean,reltype[Non-Matching:PULL_UP_SIGNATURE]_mean
Algorithms,claude-opus-4-8,50,50,3.24,9.4112,6.6858,15.8107,3.72,0.02,0.0374,0.2434,24.3,20.5,1.5,0.8,0.5,0.2,0.3,0.2,0.3,0.0,1.6,0.5,0.8,0.1,0.1,0.1,48.7,6.6,42.1,
Algorithms,claude-sonnet-4-6,50,50,7.42,8.223,1.4399,6.986,2.38,0.16,0.1278,0.3601,34.6,31.1,1.5,0.6,0.8,0.0,0.3,0.0,0.1,0.2,3.7,1.5,0.9,0.5,0.1,0.3,21.0,4.1,16.9,0.4
Algorithms,gpt-5.4,50,50,10.0,30.9743,0.0,15.3909,13.0,0.82,0.2294,0.16,71.6,55.4,4.7,5.5,2.3,0.0,1.3,1.0,0.9,0.5,13.6,5.5,5.4,1.1,0.0,0.5,64.3,16.4,47.9,1.1
Algorithms,gpt-5.4-mini,50,50,9.7,20.5184,0.5637,13.8308,7.78,1.32,0.2549,0.04,52.6,41.6,3.0,3.9,2.4,0.0,0.6,0.7,0.1,0.3,8.0,4.1,2.0,1.2,,0.2,41.3,10.8,30.5,0.5
Algorithms,gpt-5.5,50,50,9.72,9.5158,0.3987,5.9351,1.5,0.02,0.2339,0.04,39.6,34.0,1.9,1.2,0.9,,0.8,0.3,0.3,0.2,8.5,6.1,1.8,0.3,,0.1,20.2,3.0,17.2,0.2
