experiment,stamp,model,num_turns,t0,L0,L0_ok,skipped_turns,S1,S1_bin,S2,S2_bin,S3,S3_bin,S4_cont,S4_bin,S5_cont,S5_bin,S6_cont,S6_bin,S7_cont
038_radix_sort-high-Agent,20260620T141635Z-gpt-5.5,gpt-5.5,10,11,60,1,0,12.200000,1,0.000000,0,2.716667,1,2,1,0,0,0.046296,1,0.000000
038_radix_sort-high-Agent,20260620T143327Z-gpt-5.4,gpt-5.4,10,11,60,1,0,9.516667,1,0.000000,0,6.550000,1,7,1,1,1,0.275132,1,0.000000
038_radix_sort-high-Agent,20260620T144458Z-gpt-5.4-mini,gpt-5.4-mini,10,11,60,1,0,14.783333,1,0.000000,0,14.583333,1,11,1,2,1,0.187879,1,0.000000
038_radix_sort-high-Agent,20260620T145750Z-claude-sonnet-4-6,claude-sonnet-4-6,10,4,60,1,0,2.316667,1,0.000000,0,1.333333,1,0,0,0,0,0.166667,1,0.000000
038_radix_sort-high-Agent,20260620T150139Z-claude-opus-4-8,claude-opus-4-8,10,5,60,1,0,8.766667,1,7.800000,1,22.383333,1,2,1,0,0,0.074074,1,0.428571
