experiment,stamp,model,num_turns,t0,L0,L0_ok,skipped_turns,S1,S1_bin,S2,S2_bin,S3,S3_bin,S4_cont,S4_bin,S5_cont,S5_bin,S6_cont,S6_bin
023_bellman_ford-high-Agent,20260620T000417Z-gpt-5.5,gpt-5.5,10,11,46,1,0,11.130435,1,0.000000,0,5.586957,1,5,1,0,0,0.344577,1
023_bellman_ford-high-Agent,20260620T001750Z-gpt-5.4,gpt-5.4,10,11,46,1,0,29.434783,1,0.000000,0,23.260870,1,11,1,0,0,0.187075,1
023_bellman_ford-high-Agent,20260620T003436Z-gpt-5.4-mini,gpt-5.4-mini,10,11,46,1,0,7.565217,1,0.000000,0,5.282609,1,0,0,0,0,0.336111,1
023_bellman_ford-high-Agent,20260620T004041Z-claude-sonnet-4-6,claude-sonnet-4-6,10,10,46,1,0,6.804348,1,0.000000,0,4.173913,1,6,1,0,0,0.148148,1
023_bellman_ford-high-Agent,20260620T005550Z-claude-opus-4-8,claude-opus-4-8,10,3,46,1,0,17.891304,1,16.695652,1,34.913043,1,14,1,1,1,0.194621,1
