experiment,stamp,model,num_turns,t0,L0,L0_ok,skipped_turns,S1,S1_bin,S2,S2_bin,S3,S3_bin,S4_cont,S4_bin,S5_cont,S5_bin,S6_cont,S6_bin,S7_cont,S0,S0_never_stopped
014_trie_insert_and_search-high-Agent,20260618T172714Z-gpt-5.5,gpt-5.5,10,11,77,1,0,7.610390,1,0.000000,0,4.389610,1,2,1,0,0,0.177778,1,0.000000,10,1
014_trie_insert_and_search-high-Agent,20260618T173939Z-gpt-5.4,gpt-5.4,10,11,77,1,0,6.064935,1,0.000000,0,2.766234,1,6,1,1,1,0.498148,1,0.000000,10,1
014_trie_insert_and_search-high-Agent,20260618T175122Z-gpt-5.4-mini,gpt-5.4-mini,10,11,77,1,0,8.480519,1,0.000000,0,6.285714,1,8,1,1,1,0.401984,1,0.000000,10,1
014_trie_insert_and_search-high-Agent,20260618T175934Z-claude-sonnet-4-6,claude-sonnet-4-6,10,11,77,1,0,9.883117,1,0.000000,0,3.831169,1,4,1,0,0,0.235185,1,0.000000,10,1
014_trie_insert_and_search-high-Agent,20260618T185216Z-claude-opus-4-8,claude-opus-4-8,10,2,77,1,0,2.051948,1,0.000000,0,2.051948,1,0,0,0,0,0.000000,0,0.000000,2,0
