experiment,stamp,model,num_turns,t0,L0,L0_ok,skipped_turns,S1,S1_bin,S2,S2_bin,S3,S3_bin,S4_cont,S4_bin,S5_cont,S5_bin,S6_cont,S6_bin,S7_cont
040_bubble_sort-high-Agent,20260620T155909Z-gpt-5.5,gpt-5.5,10,9,39,1,0,3.538462,1,0.230769,1,2.282051,1,0,0,0,0,0.333333,1,0.000000
040_bubble_sort-high-Agent,20260620T160514Z-gpt-5.4,gpt-5.4,10,11,39,1,0,21.512821,1,0.000000,0,7.487179,1,18,1,0,0,0.109405,1,0.000000
040_bubble_sort-high-Agent,20260620T162459Z-claude-sonnet-4-6,claude-sonnet-4-6,10,9,39,1,0,6.871795,1,0.000000,0,3.538462,1,7,1,0,0,0.097222,1,0.333333
040_bubble_sort-high-Agent,20260620T163234Z-claude-opus-4-8,claude-opus-4-8,10,3,39,1,0,10.923077,1,46.025641,1,75.230769,1,19,1,0,0,0.103716,1,0.200000
040_bubble_sort-high-Agent,20260622T052442Z-gpt-5.4-mini,gpt-5.4-mini,10,11,39,1,0,12.641026,1,0.000000,0,10.692308,1,9,1,1,1,0.349008,1,0.000000
