suite,model,n_codebases_signals,n_codebases_refdiff,S0_cont_mean,S1_cont_mean,S2_cont_mean,S3_cont_mean,S4_cont_mean,S5_cont_mean,S6_cont_mean,S7_cont_mean,refdiff_Matching_mean,reltype[Matching:CHANGE_SIGNATURE]_mean,reltype[Matching:SAME]_mean,reltype[Matching:PULL_UP]_mean,reltype[Matching:MOVE]_mean,reltype[Matching:RENAME]_mean,reltype[Matching:MOVE_RENAME]_mean,refdiff_Non-Matching_mean,reltype[Non-Matching:EXTRACT]_mean,reltype[Non-Matching:EXTRACT_MOVE]_mean,reltype[Non-Matching:EXTRACT_SUPER]_mean,reltype[Non-Matching:INLINE]_mean,reltype[Non-Matching:PULL_UP_SIGNATURE]_mean,refdiff_No_Relationship_mean,reltype[No Relationship:Node Deleted]_mean,reltype[No Relationship:Node Added]_mean,reltype[Matching:PUSH_DOWN]_mean
RealWorld,claude-opus-4-8,10,10,7.3,0.4702,0.0341,0.3774,2.7,0.0,0.0377,0.7167,66.0,2.1,51.4,8.7,3.6,0.1,0.1,8.5,2.6,3.5,1.1,0.2,1.1,70.2,25.2,45.0,
RealWorld,claude-sonnet-4-6,10,10,6.6,0.5148,0.0,0.3579,0.1,0.0,0.0244,0.3,106.2,2.2,97.1,6.5,0.2,0.2,,6.5,1.5,1.5,0.5,1.5,1.5,57.5,24.7,32.8,
RealWorld,gpt-5.4,10,10,10.0,0.8809,0.0,0.4784,11.8,0.0,0.1268,0.3,177.1,16.6,144.8,10.0,2.6,2.7,0.3,32.2,10.9,14.5,2.1,0.5,4.2,147.0,46.9,100.1,0.1
RealWorld,gpt-5.4-mini,10,10,8.7,0.626,0.152,0.6037,13.5,0.1,0.1759,0.1,160.6,14.9,121.1,9.6,10.0,2.4,0.4,17.2,5.0,8.1,1.4,0.7,2.0,96.2,35.3,60.9,2.2
RealWorld,gpt-5.5,10,10,9.5,0.5681,0.0359,0.384,3.4,0.4,0.0565,0.2,120.0,3.5,107.6,6.4,1.3,1.1,0.1,23.3,10.8,11.3,0.5,0.1,0.6,74.5,20.4,54.1,
