experiment,stamp,model,num_turns,t0,L0,L0_ok,skipped_turns,S1,S1_bin,S2,S2_bin,S3,S3_bin,S4_cont,S4_bin,S5_cont,S5_bin,S6_cont,S6_bin,S7_cont,S0,S0_never_stopped
015_open_addressing_linear_probing-high-Agent,20260618T185814Z-gpt-5.5,gpt-5.5,10,11,109,1,0,4.073394,1,0.000000,0,2.403670,1,0,0,0,0,0.339506,1,0.000000,10,1
015_open_addressing_linear_probing-high-Agent,20260618T191059Z-gpt-5.4,gpt-5.4,10,11,109,1,0,12.082569,1,0.000000,0,5.357798,1,29,1,1,1,0.356617,1,0.000000,10,1
015_open_addressing_linear_probing-high-Agent,20260618T193038Z-gpt-5.4-mini,gpt-5.4-mini,10,11,109,1,0,5.889908,1,0.000000,0,1.752294,1,0,0,0,0,0.233165,1,0.000000,10,1
015_open_addressing_linear_probing-high-Agent,20260618T194531Z-claude-sonnet-4-6,claude-sonnet-4-6,10,11,109,1,0,3.302752,1,0.000000,0,1.568807,1,0,0,0,0,0.277778,1,1.000000,10,1
015_open_addressing_linear_probing-high-Agent,20260619T042653Z-claude-opus-4-8,claude-opus-4-8,10,3,109,1,0,9.963303,1,20.091743,1,28.027523,1,28,1,0,0,0.103169,1,0.250000,3,0
